Song Name,Song ID,Genres,Year,Main Genres
Sparks,7D0RhFcb3CrfPuTJ0obrod,"['permanent wave', 'pop']",2000,Pop Music
Yellow,3AJwUDP919kvQ9QcozQPxg,"['permanent wave', 'pop']",2000,Pop Music
The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,"['detroit hip hop', 'hip hop', 'rap']",2000,Hip hop Music
Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",2000,"Metal Music, Rock Music"
Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",2000,Hip hop Music
In the End,60a0Rd6pjrkxjPbaKzXjfq,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
Change (In the House of Flies),51c94ac31swyDQj9B3Lzs3,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",2000,"Metal Music, Rock Music"
One Step Closer,3K4HG9evC7dg3N0R9cYqk4,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
It's A Great Day To Be Alive,3oW6SWwGqiZSPTiAp7ZQoH,"['contemporary country', 'country', 'country road', 'outlaw country']",2000,Country Music
Stan,1fXnu2HzxbDtoyvFPWG3Bw,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",2000,Hip hop Music
Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",2000,"Hip hop Music, Pop Music"
It Wasn't Me,3WkibOpDF7cQ5xntM1epyf,"['pop rap', 'reggae fusion']",2000,"Reggae Music, Pop Music"
Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,"['boy band', 'dance pop', 'pop']",2000,Pop Music
Down with the Sickness,40rvBMQizxkIqnjPdEWY1v,"['alternative metal', 'nu metal', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
"So Fresh, So Clean",6glsMWIMIxQ4BedzLqGVi4,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",2000,Hip hop Music
Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,"['dance pop', 'pop']",2000,Pop Music
Crawling,57BrRMwf9LrcmuOsyGilwr,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
It's Gonna Be Me,2AW37v0bDyuOzGP3XnmFuA,"['boy band', 'dance pop', 'pop']",2000,Pop Music
Me and the Birds,4wEuNvb7oG8oZYrZPZ9rPr,['slowcore'],2000,
Rollin' (Air Raid Vehicle),3IV4swNduIRunHREK80owz,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
Papercut,1Vej0qeQ3ioKwpI6FUbRv1,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
Country Grammar (Hot Shit),3wMUvT6eIw2L5cZFG1yH9j,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",2000,"Hip hop Music, Pop Music"
Angel,1daDRI9ahBonbWD8YcxOIB,['pop'],2000,Pop Music
Hanging By A Moment,0wqOReZDnrefefEsrIGeR4,"['neo mellow', 'pop rock', 'post-grunge']",2000,"Pop Music, Rock Music"
Red Red Wine,4uOKFydzAejjSFqYbv1XPt,"['reggae fusion', 'uk reggae']",2000,Reggae Music
The Way I Am,23wfXwnsPZYe5A1xXRHb3J,"['detroit hip hop', 'hip hop', 'rap']",2000,Hip hop Music
Dancing in the Moonlight,0q21FNwES2bbtcduB6kjEU,['soft rock'],2000,Rock Music
Didn't Cha Know,7pv80uUHfocFqfTytu1MVi,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b', 'soul']",2000,
It's My Life,0v1XpBHnsbkCn7iJ9Ucr1l,"['glam metal', 'rock']",2000,"Metal Music, Rock Music"
My Way,2gSVKxPDww9Eep5rdvtdem,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
El Amor Soñado,587p8shYuTXUhThG3t9x60,"['banda', 'corrido', 'musica bajacaliforniana', 'musica mexicana', 'norteno']",2000,
Follow Me,4KoecuyOpZaNFZ0UqVsllc,"['country', 'pop rock', 'post-grunge']",2000,"Pop Music, Country Music, Rock Music"
Better Off Alone,5XVjNRubJUW0iPhhSWpLCj,['eurodance'],2000,
Beautiful Day,1VuBmEauSZywQVtqbxNqka,"['irish rock', 'permanent wave', 'rock']",2000,Rock Music
Absolutely (Story of a Girl) - Radio Mix,3mNecsYFb6LQg7822DPXCP,['pop rock'],2000,"Pop Music, Rock Music"
Teenage Dirtbag,25FTMokYEbEWHEdss5JLZS,[],2000,
Digital Bath,2jSJm3Gv6GLxduWLenmjKS,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",2000,"Metal Music, Rock Music"
Take A Look Around,2avKuMN2QXkaG9vvHa2JLt,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
A Place for My Head,5rAxhWcgFng3s570sGO2F8,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
Awake,6xXlurslWqFuyqTCBlErzX,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",2000,Metal Music
Want You Bad,6hwQ69v7VbPhTTR2fOtYX7,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",2000,"Metal Music, Pop Music, Rock Music"
I Hope You Dance,65B1tEOv5W294uCKbmEcFV,"['country', 'country dawn', 'country road']",2000,Country Music
Mis Tres Viejas,1yxJIFPhP2EqnQ6oWJKbmP,"['banda', 'corrido', 'musica bajacaliforniana', 'musica mexicana', 'norteno']",2000,
Kill You,0kEZlJh4mK1QRfb3CT5LPk,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",2000,Hip hop Music
Bitch Please II,7lgvU7WnwcNZ8dbGUz8yhP,"['detroit hip hop', 'hip hop', 'rap']",2000,Hip hop Music
I'm Like A Bird,2aGw77pZqli064JiPuXYRi,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",2000,Pop Music
What's Your Fantasy (Featuring Shawna),4LwOrnuxJwR7C5Sw4liY4Z,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2000,"Hip hop Music, Pop Music"
Judith,5KDNFlHAdDJ84fhK27c35X,"['alternative metal', 'alternative rock', 'nu metal', 'rock', 'supergroup']",2000,"Metal Music, Rock Music"
Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",2000,Rock Music
Put It On Me,2FWeNvUo79OeiHWoR1bUsO,"['baton rouge rap', 'rap']",2000,
Secreto De Amor,47PiSg7z5qjUyEGKN4I1g7,"['banda', 'grupera', 'musica mexicana', 'norteno', 'ranchera']",2000,
Hemorrhage (In My Hands),1sjrDQXqAa9V07FjKIlAQ4,"['alternative metal', 'nu metal', 'post-grunge']",2000,Metal Music
I Will Survive - Single Version,7cv28LXcjAC3GsXbUvXKbX,"['disco', 'soft rock']",2000,Rock Music
I Wanna Know,1m2xMsxbtxv21Brome189p,"['contemporary r&b', 'r&b', 'urban contemporary']",2000,
Me Gusta Vivir De Noche,4GoBPGSNDWr9Sgi2Sc8xsj,"['banda', 'corrido', 'musica bajacaliforniana', 'musica mexicana', 'norteno']",2000,
This I Promise You,46n2EGFnPC3tzWCN1Aqe26,"['boy band', 'dance pop', 'pop']",2000,Pop Music
Todo Me Gusta De Ti,5gUoppDphfYsIiguGr5drh,"['banda', 'cumbia sonidera', 'musica mexicana', 'norteno']",2000,
Passenger,7IoK6jZBxY7NMoQPoPXZCF,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",2000,"Metal Music, Rock Music"
Points of Authority,5egqKwgK5r5rvGD1LrtR7J,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000,"Metal Music, Rock Music"
By Your Side,5gUiTylvifZnUrynE4FFPu,['florida rap'],2000,
E.I.,4bUfMNNmiCmPXVyWzIfKeZ,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",2000,"Hip hop Music, Pop Music"
Put Your Head On My Shoulder,2DpJ9T2RVRanZcYFHKOAfA,"['adult standards', 'canadian pop', 'easy listening', 'rock-and-roll']",2000,"Pop Music, Rock Music"
How to Disappear Completely,2rtGaCAeYtmcIvuZsvgTf6,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",2000,Rock Music
Just Friends (Sunny),5jgEJXjECdlhzNgfITSTVm,"['contemporary r&b', 'neo soul', 'r&b', 'urban contemporary']",2000,
Dig,4cg1yakyRSIOjxKM2I7J1q,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",2000,Hip hop Music
Renegades Of Funk,5YBVDvTSSSiqv7KZDeUlXA,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'hard rock', 'nu metal', 'political hip hop', 'post-grunge', 'rap metal', 'rap rock', 'rock']",2000,"Metal Music, Hip hop Music, Rock Music"
Dance Tonight,1TwVcKR6JojvPwBGbWZT36,"['contemporary r&b', 'neo soul', 'new jack swing']",2000,
Abrázame Muy Fuerte,2nejvFyJeTDtMRP2nUMt0J,"['cancion melodica', 'latin pop', 'mariachi', 'musica mexicana', 'ranchera']",2000,Pop Music
Para No Verte Más,19CmuECYssqkPWANF4nLWM,"['latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",2000,Rock Music
If You're Gone,2f5N826udWfjT9iomeaBJt,"['neo mellow', 'pop rock', 'post-grunge']",2000,"Pop Music, Rock Music"
Hate To Say I Told You So,6xxXrNJnnsQNLdgNk8S4y8,"['alternative rock', 'garage rock', 'garage rock revival', 'modern rock', 'rock', 'swedish garage rock', 'swedish hard rock', 'swedish indie rock']",2000,Rock Music
Don't Panic,2QhURnm7mQDxBb5jWkbDug,"['permanent wave', 'pop']",2000,Pop Music
B.O.B. - Bombs Over Baghdad,3WibbMr6canxRJXhNtAvLU,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",2000,Hip hop Music
I Want To Hold Your Hand - Remastered 2015,4pbG9SUmWIvsROVLF0zF9s,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",2000,Rock Music
Superman (It's Not Easy),3TwtrR1yNLY1PMPsrGQpOp,"['neo mellow', 'piano rock', 'pop rock']",2000,"Pop Music, Rock Music"
Only Time,6FLwmdmW77N1Pxb1aWsZmO,"['celtic', 'middle earth', 'operatic pop']",2000,Pop Music
